Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Förderprogramme und Stipendien	Zur Finanzierung Ihres Auslandsaufenthaltes haben Sie verschiedene Möglichkeiten, von denen wir auf den folgenden Seiten einige für Sie zusammengestellt haben.\n\nUm eine Förderung im Rahmen der Programme Erasmus+ und PROMOS sowie aus den Mitteln der zentralen Qualitätsverbesserung der FH Bielefeld (QVM) können Sie sich direkt an der FH Bielefeld bewerben. Die aktuelle Ausschreibung für folgende Programme finden Sie links im Downloadbereich:\n\nStudienplätze an Partnerhochschulen im Ausland (für ein oder zwei Semester) im WiSe 2019/SoSe 2020\n\nErasmus+ Stipendien (für ein Auslandsstudium an Erasmus+ Partnerhochschulen) im WiSe 2019/SoSe 2020\n\nErasmus+ ICM Stipendien (für ein Auslandsstudium an ausgewählten Partnerhochschulen außerhalb Europas sowie Praktika in den jeweiligen Ländern)\n\nDAAD PROMOS-Stipendien (für Auslandsstudium, -praktikum und Kurzaufenthalte) für den Zeitraum 01.02.2019 - 31.12.2019 (ggf. bis einschl. 28.02.2020)\n\nMobilitätsstipendien (für alle studienbezogenen Auslandsaufenthalte) für den Zeitraum 01.02.2019 - 29.02.2020\n\nDer Deutsche Akademische Austauschdienst (DAAD) hat darüber hinaus eine Vielzahl von Fördermöglichkeiten im Angebot, auf die Sie sich direkt beim DAAD bewerben: \n\n[https://www.daad.de/ausland/studieren/stipendium/de/70-stipendien-finden-und-bewerben/]()\n\nDas International Office berät und unterstützt Sie dabei gern.\n\nWeitere Ausschreibungen (vom DAAD, von öffentlichen Einrichtungen, Stiftungen und anderen Geldgebern) finden Sie bei ILIAS unter Lernkatalog > Zentrale Angebote > International Office.	Editorial		[]	false	[]	14
Förderprogramm	Zur Finanzierung Ihres Auslandsaufenthaltes haben Sie verschiedene Möglichkeiten, von denen wir auf den folgenden Seiten einige für Sie zusammengestellt haben.\n\nUm eine Förderung im Rahmen der Programme Erasmus+ und PROMOS sowie aus den Mitteln der zentralen Qualitätsverbesserung der FH Bielefeld (QVM) können Sie sich direkt an der FH Bielefeld bewerben. Die aktuelle Ausschreibung für folgende Programme finden Sie links im Downloadbereich:\n\nStudienplätze an Partnerhochschulen im Ausland (für ein oder zwei Semester) im WiSe 2019/SoSe 2020\n\nErasmus+ Stipendien (für ein Auslandsstudium an Erasmus+ Partnerhochschulen) im WiSe 2019/SoSe 2020\n\nErasmus+ ICM Stipendien (für ein Auslandsstudium an ausgewählten Partnerhochschulen außerhalb Europas sowie Praktika in den jeweiligen Ländern)\n\nDAAD PROMOS-Stipendien (für Auslandsstudium, -praktikum und Kurzaufenthalte) für den Zeitraum 01.02.2019 - 31.12.2019 (ggf. bis einschl. 28.02.2020)\n\nMobilitätsstipendien (für alle studienbezogenen Auslandsaufenthalte) für den Zeitraum 01.02.2019 - 29.02.2020\n\nDer Deutsche Akademische Austauschdienst (DAAD) hat darüber hinaus eine Vielzahl von Fördermöglichkeiten im Angebot, auf die Sie sich direkt beim DAAD bewerben: \n\n[https://www.daad.de/ausland/studieren/stipendium/de/70-stipendien-finden-und-bewerben/]()\n\nDas International Office berät und unterstützt Sie dabei gern.\n\nWeitere Ausschreibungen (vom DAAD, von öffentlichen Einrichtungen, Stiftungen und anderen Geldgebern) finden Sie bei ILIAS unter Lernkatalog > Zentrale Angebote > International Office.	Editorial		[]	false	[]	14
Stipendium	Zur Finanzierung Ihres Auslandsaufenthaltes haben Sie verschiedene Möglichkeiten, von denen wir auf den folgenden Seiten einige für Sie zusammengestellt haben.\n\nUm eine Förderung im Rahmen der Programme Erasmus+ und PROMOS sowie aus den Mitteln der zentralen Qualitätsverbesserung der FH Bielefeld (QVM) können Sie sich direkt an der FH Bielefeld bewerben. Die aktuelle Ausschreibung für folgende Programme finden Sie links im Downloadbereich:\n\nStudienplätze an Partnerhochschulen im Ausland (für ein oder zwei Semester) im WiSe 2019/SoSe 2020\n\nErasmus+ Stipendien (für ein Auslandsstudium an Erasmus+ Partnerhochschulen) im WiSe 2019/SoSe 2020\n\nErasmus+ ICM Stipendien (für ein Auslandsstudium an ausgewählten Partnerhochschulen außerhalb Europas sowie Praktika in den jeweiligen Ländern)\n\nDAAD PROMOS-Stipendien (für Auslandsstudium, -praktikum und Kurzaufenthalte) für den Zeitraum 01.02.2019 - 31.12.2019 (ggf. bis einschl. 28.02.2020)\n\nMobilitätsstipendien (für alle studienbezogenen Auslandsaufenthalte) für den Zeitraum 01.02.2019 - 29.02.2020\n\nDer Deutsche Akademische Austauschdienst (DAAD) hat darüber hinaus eine Vielzahl von Fördermöglichkeiten im Angebot, auf die Sie sich direkt beim DAAD bewerben: \n\n[https://www.daad.de/ausland/studieren/stipendium/de/70-stipendien-finden-und-bewerben/]()\n\nDas International Office berät und unterstützt Sie dabei gern.\n\nWeitere Ausschreibungen (vom DAAD, von öffentlichen Einrichtungen, Stiftungen und anderen Geldgebern) finden Sie bei ILIAS unter Lernkatalog > Zentrale Angebote > International Office.	Editorial		[]	false	[]	14
Stipedendien	Zur Finanzierung Ihres Auslandsaufenthaltes haben Sie verschiedene Möglichkeiten, von denen wir auf den folgenden Seiten einige für Sie zusammengestellt haben.\n\nUm eine Förderung im Rahmen der Programme Erasmus+ und PROMOS sowie aus den Mitteln der zentralen Qualitätsverbesserung der FH Bielefeld (QVM) können Sie sich direkt an der FH Bielefeld bewerben. Die aktuelle Ausschreibung für folgende Programme finden Sie links im Downloadbereich:\n\nStudienplätze an Partnerhochschulen im Ausland (für ein oder zwei Semester) im WiSe 2019/SoSe 2020\n\nErasmus+ Stipendien (für ein Auslandsstudium an Erasmus+ Partnerhochschulen) im WiSe 2019/SoSe 2020\n\nErasmus+ ICM Stipendien (für ein Auslandsstudium an ausgewählten Partnerhochschulen außerhalb Europas sowie Praktika in den jeweiligen Ländern)\n\nDAAD PROMOS-Stipendien (für Auslandsstudium, -praktikum und Kurzaufenthalte) für den Zeitraum 01.02.2019 - 31.12.2019 (ggf. bis einschl. 28.02.2020)\n\nMobilitätsstipendien (für alle studienbezogenen Auslandsaufenthalte) für den Zeitraum 01.02.2019 - 29.02.2020\n\nDer Deutsche Akademische Austauschdienst (DAAD) hat darüber hinaus eine Vielzahl von Fördermöglichkeiten im Angebot, auf die Sie sich direkt beim DAAD bewerben: \n\n[https://www.daad.de/ausland/studieren/stipendium/de/70-stipendien-finden-und-bewerben/]()\n\nDas International Office berät und unterstützt Sie dabei gern.\n\nWeitere Ausschreibungen (vom DAAD, von öffentlichen Einrichtungen, Stiftungen und anderen Geldgebern) finden Sie bei ILIAS unter Lernkatalog > Zentrale Angebote > International Office.	Editorial		[]	false	[]	14
Förderprogramme	Zur Finanzierung Ihres Auslandsaufenthaltes haben Sie verschiedene Möglichkeiten, von denen wir auf den folgenden Seiten einige für Sie zusammengestellt haben.\n\nUm eine Förderung im Rahmen der Programme Erasmus+ und PROMOS sowie aus den Mitteln der zentralen Qualitätsverbesserung der FH Bielefeld (QVM) können Sie sich direkt an der FH Bielefeld bewerben. Die aktuelle Ausschreibung für folgende Programme finden Sie links im Downloadbereich:\n\nStudienplätze an Partnerhochschulen im Ausland (für ein oder zwei Semester) im WiSe 2019/SoSe 2020\n\nErasmus+ Stipendien (für ein Auslandsstudium an Erasmus+ Partnerhochschulen) im WiSe 2019/SoSe 2020\n\nErasmus+ ICM Stipendien (für ein Auslandsstudium an ausgewählten Partnerhochschulen außerhalb Europas sowie Praktika in den jeweiligen Ländern)\n\nDAAD PROMOS-Stipendien (für Auslandsstudium, -praktikum und Kurzaufenthalte) für den Zeitraum 01.02.2019 - 31.12.2019 (ggf. bis einschl. 28.02.2020)\n\nMobilitätsstipendien (für alle studienbezogenen Auslandsaufenthalte) für den Zeitraum 01.02.2019 - 29.02.2020\n\nDer Deutsche Akademische Austauschdienst (DAAD) hat darüber hinaus eine Vielzahl von Fördermöglichkeiten im Angebot, auf die Sie sich direkt beim DAAD bewerben: \n\n[https://www.daad.de/ausland/studieren/stipendium/de/70-stipendien-finden-und-bewerben/]()\n\nDas International Office berät und unterstützt Sie dabei gern.\n\nWeitere Ausschreibungen (vom DAAD, von öffentlichen Einrichtungen, Stiftungen und anderen Geldgebern) finden Sie bei ILIAS unter Lernkatalog > Zentrale Angebote > International Office.	Editorial		[]	false	[]	14
Alberta OWL-Kooperation	In der Alberta OWL-Kooperation arbeiten Hochschulen in OWL (Ostwestfalen-Lippe, Deutschland) und Bildungsinstitutionen in Edmonton (Kanada) zusammen, um Wissen auszutauschen und weiterzuentwickeln. Im Mittelpunkt der Kooperation stehen eine fächerübergreifende enge Zusammenarbeit in der Forschung, sowie der Austausch von Studierenden und PraktikantInnen. Durch multilaterale Beziehungen zwischen allen beteiligten Partnern sollen Stärken beider Regionen ergänzt, kombiniert und ausgebaut werden.\n\n \n\nEdmonton - The City of Learners**\n\nEdmonton liegt mit seinen 1,3 Millionen Einwohnern im Herzen Albertas in Westkanada. Mit über 90.000 Studierenden jährlich ist die Stadt ein intellektuelles Zentrum. Aus den renommierten Bildungsinstitutionen gehen Premierminister und Nobelpreisträger hervor. Bekannt als 'hotbed of knowledge and innovation' (Nährboden für Wissen und Innovation) ist Edmonton mit zahlreichen exzellenten Forschungseinrichtungen, Biotechnologie-, Agrarwirtschafts- und Erdölbetrieben ausgestattet. Unter anderem die breit ausgebaute Branche der Informations- und Telekommunikationstechnologie macht die Stadt zum Standort nationaler und internationaler Wirtschaftsunternehmen. Die Region ist darüber hinaus durch ihre weltweit bekannten Nationalparks Banff und Jasper in den Rocky Mountains ein beliebtes Touristenziel.\n\n \n\nOWL - Vereint Wissenschaft und Industrie**\n\nOstwestfalen-Lippe im Nordwesten Deutschlands ist mit rund 120.000 Unternehmen eine Region mit industriellem Schwerpunkt, in der Wirtschaft und Wissenschaft eng miteinander verbunden sind. Die Zusammenarbeit von unterschiedlichsten leistungsstarken Unternehmen und Hochschulen macht OWL zu einem bedeutenden Wissenschaftsstandort mit mehr als 65.000 Studierenden. Dabei spielt Internationalität eine zentrale Rolle. Mehrere sogenannten 'hidden champions', große Weltmarktführer, haben ihren Sitz in OWL. Die beiden größten Städte \n\n[Bielefeld](http://www.bielefeld.de/ftp/prospekte/Bielefeld-Portrait.pdf)\n\n und \n\n[Paderborn](https://www.paderborn.de/tourismus-kultur/download/Welcome_Internet.pdf)\n\n ergänzen sich auf vielfältige Weise.\n\n![](https://www.uni-bielefeld.de/International/Kooperationen/owl-ab/Kanada_puzzle.png)\n\n![](https://www.uni-bielefeld.de/International/Kooperationen/owl-ab/Kanada_puzzle.png)\n\n[Kooperationspartner](https://www.fh-bielefeld.de/internationales/neu/neu)\n\n[Kontakt](https://www.fh-bielefeld.de/internationales/neu/alberta-owl-kooperation/kontakt)\n\n[Projekte](https://www.fh-bielefeld.de/internationales/neu/projekte)	Editorial		[]	false	[]	15
Internationalisierung @ FH Bielefeld	Für die\n\n Internationalisierung zuhause**\n\n bietet die Fachhochschule Bielefeld verschiedene Programme, die es allen Hochschulangehörigen ermöglichen, internationale Kontakte zu knüpfen und internationale Erfahrungen auch zuhause zu machen.\n\nBuddy-Programm\n\n\"... more than just a friend ...\"**\n\nDas Buddy-Programm der FH Bielefeld soll internationalen Studierenden den Einstieg ins Studium  und das Einleben in Bielefeld und Deutschland erleichtern. Das Angebot steht Austauschstudierenden genauso offen wie den Degree Seeking Students, die ihr gesamtes Studium hier absolvieren möchten.\n\nBuddies - das sind wir:**\n\nerfahrene FH-Studierende, die ehrenamtlich ausländische Studierende betreuen\n\nderzeit über 50 deutsche und internationale Studierende aus verschiedenen Fachbereichen	Editorial		[]	false	[]	16
Partnerhochschulen	Die Fachhochschule Bielefeld hat ein Netzwerk von über 100 Partnerhochschulen weltweit. Diese Kooperationen fördern dienen zum einen dem wissenschaftlichen Austausch und ermöglichen es zum anderen den Studierenden der FH, unkompliziert (und frei von Studiengebühren) ein Ausslandssemester zu absolvieren. Umgekehrt nimmt die FH im Rahmen dieser Partnerschaften Studierende aus der ganzen Welt für ein Semester oder Studienjahr auf.\n\nDie Kooperationsverträge bestehen grundsätzlich zwischen der Partnerhochschule im Ausland und einer oder mehrerer Fachbereiche der FH Bielefeld. Wenn Sie ein Auslandssemester absolvieren möchten, sollten Sie sich also als Erstes darüber informieren, welche Partnerschaften in Ihrem Fachbereich bestehen.\n\nEine aktuelle Übersicht der Partnerhochschulen aller Fachbereiche finden Sie links im Download-Bereich. Alternativ können Sie nach Austauschkooperationen über die nachfolgende Weltkarte suchen.\n\n \n\n Weltweit nach \n\n[Austauschkooperationen](https://www.service4mobility.com/europe/MobilitySearchServlet?identifier=BIELEFE02&kz_bew_pers=S&kz_bew_art=OUT&sprache=de)\n\n suchen.	Editorial		[]	false	[]	17
Studium an der FH Bielefeld	Die FH Bielefeld bietet:\n\n[Bachelorstudiengänge](/studiengaenge?abschluss[1]=BA)\n\n[Masterstudiengänge](/studiengaenge?abschluss[2]=MA)\n\n[Zertifikatsstudiengänge](/studiengaenge?abschluss[3]=ZA)\n\nan fünf Fachbereichen:\n\n[Gestaltung](https://www.fh-bielefeld.de/gestaltung)\n\n[Campus Minden](https://www.fh-bielefeld.de/minden)\n\n[Ingenieurwissenschaften und Mathematik](https://www.fh-bielefeld.de/ium)\n\n[Sozialwesen](https://www.fh-bielefeld.de/sozialwesen)\n\n[Wirtschaft und Gesundheit.](https://www.fh-bielefeld.de/wug)\n\nan den drei Standorten \n\n[Bielefeld](https://www.fh-bielefeld.de/lageplan/bielefeld \"Bielefeld\")\n\n, \n\n[Minden](https://www.fh-bielefeld.de/lageplan/minden \"Minden\")\n\n und \n\n[Gütersloh](https://www.fh-bielefeld.de/lageplan/guetersloh \"Gütersloh\")\n\n.	Editorial		[]	false	[]	18
Bewerbung um einen Studienplatz	Die Bewerbung um einen Studienplatz an der FH Bielefeld erfolgt über uni-assist e.V. und nicht direkt an der FH Bielefeld.\n\nDen genauen Bewerbungsprozess finden Sie \n\n[hier](https://www.fh-bielefeld.de/studienbewerbung/auslaendische-zeugnisse)\n\n.	Editorial		[]	false	[]	19
Bewerbung	Die Bewerbung um einen Studienplatz an der FH Bielefeld erfolgt über uni-assist e.V. und nicht direkt an der FH Bielefeld.\n\nDen genauen Bewerbungsprozess finden Sie \n\n[hier](https://www.fh-bielefeld.de/studienbewerbung/auslaendische-zeugnisse)\n\n.	Editorial		[]	false	[]	19
Voraussetzungen für ein Studium	Das Studium an der FH Bielefeld setzt eine Hochschulzugangsberechtigung (HZB) für ein Studium in Deutschland voraus. Sie können selbst überprüfen, ob die von Ihnen im Heimatland erbrachten Leistungen ausreichend sind, um direkt ein Studium aufzunehmen. Hierfür können Sie die Datenbank \"\n\n[Anabin](http://anabin.kmk.org/anabin.html)\n\n\" nutzen.\n\nAußerdem müssen für die Studiengänge der FH Bielefeld die Deutsch-Sprachkenntnisse durch ein anerkanntes Sprachzertifikat nachgewiesen werden. Eine entsprechende Übersicht finden Sie \n\n[hier](https://www.fh-bielefeld.de/internationales/fluechtlinge/studienbewerbung/auslaendische-zeugnisse)\n\n.\n\nEine Ausnahme bildet der Fachbereich Gestaltung mit dem Studiengang Gestaltung und den Studienrichtungen \"Fotografie und Medien\", \"Grafik- und Kommunikationsdesign\" und \"Mode\". Hier ist lediglich ein deutsch-Sprachniveau auf dem Level B 2 nachzuweisen. Die anerkannten Sprachzertifikate sind ebenfalls der oben genannten Übersicht zu entnehmen.\n\nDie Kultusministerkonferenz (KMK) hat im November 2015 die Rahmenordnung über Deutsche Sprachprüfungen für das Studium an deutschen Hochschulen geändert. Demnach ist nunmehr unter anderem auch das Sprachzertifikat \"telc Deutsch Hochschule C 1\" anzuerkennen.	Editorial		[]	false	[]	20
Studienvorbereitende Deutschsprachkurse	Die Fachhochschule Bielefeld hat aus Mitteln des\n\n[ Ministeriums für Kultur und Wissenschaft (MKW) des Landes Nordrhein-Westfalen](https://www.mkw.nrw/)\n\n beim Deutschen Akademischen Austauschdienst (DAAD) Fördermittel für die Durchführung von studienvorbereitenden Deutschsprachkursen bis Ende 2019 eingeworben. Weitere Informationen zum Projekt und der Ausschreibung finden Sie \n\n[hier](https://www.daad.de/hochschulen/ausschreibungen/projekte/de/11342-foerderprogramme-finden/?s=1&projektid=57343583)\n\n.	Editorial		[]	false	[]	21
Online-Sprachunterstützung (OLS)	Die OLS (Online Linguistic Support/ Online-Spachunterstützung) gehört zum ERASMUS+ Programm und soll Sie bei Beurteilung und Vertiefung Ihrer Sprachkenntnisse unterstützen. Vor Beginn und gegen Ende Ihres Auslandsaufenthaltes absolvieren Sie einen Online-Sprachtest in der Unterrichts- bzw. Arbeitssprache. Die Teilnahme an diesem Test ist verpflichtend. Es besteht außerdem die Möglichkeit, nach dem ersten Test an einem kostenlosen Online-Sprachkurs teilzunehmen. Wenn Sie daran Interesse haben, geben Sie das bitte in Ihrer Bewerbung an.\n\nNach erfolgreicher Bewerbung bekommen Sie per Email einen Link zum ersten OLS-Sprachtest. Der Test dauert ca. 45 Minuten und ist innerhalb der Frist (s. Email) und vor Beginn des Auslandsaufenthaltes durchzuführen.\n\nNach der Rückkehr bekommen Sie einen Link zum zweiten OLS-Sprachtest. Dieser Test soll überprüfen, ob und inwieweit Sie Ihre Sprachkenntnisse verbessern konnten. Er muss absolviert werden, bevor wir Ihre zweite Stipendienrate auszahlen können; das Ergebnis hat aber keinen Einfluss auf die Höhe des Stipendiums.\n\nNähere Informationen zum Angebot der OLS finden Sie \n\n[hier](http://erasmusplusols.eu/de/)\n\n.	Editorial		[]	false	[]	22
Studierende mit Behinderung/ Studierende mit Kind	Erasmus+ soll die Chancengleichheit und Inklusion fördern. Aus diesem Grund wird Lernenden mit besonderen Bedürfnissen der Zugang zum Programm erleichtert.\n\nWelche Erfahrungen diese Studierenden während Ihres Auslandsstudiums oder -praktikums machen, erfahren Sie \n\n[hier](https://eu.daad.de/infos-fuer-hochschulen/beispiele-aus-der-praxis/engagiert/gelebte-praxis-erfahrungsberichte/de/)\n\n.\n\nStudierende mit Behinderung\n\nStudierende und Graduierte mit einem Grad der Behinderung (GdB) von mindestens 30, die einen Auslandsaufenthalt im Rahmen von Erasmus+ absolvieren möchten, können zusätzliche Fördermittel beantragen. So können sie - je nach Vorhaben und Zielland - bis zu 200,00 € pro Monat zusätzlich zu den regulären Erasmus+ Förderraten erhalten. Dazu reichen Sie einfach eine Kopie Ihres Behindertenausweises ein und füllen - im Anschluss an die grundsätzliche Zusage eines Erasmus+ Stipendiums - ein kurzes zusätzliches Antragsformular aus.\n\nAb einem Grad der Behinderung (GdB) von 50 können sie - falls durch ihre Behinderung im Rahmen des Auslandsaufenthalts besonders hohe Kosten anfallen (z.B. für eine barrierefreie Unterkunft oder Flug- und Aufenthaltskosten einer Assistenz) alternativ einen sogenannten Langantrag stellen. In diesem Antrag müssen sie die anfallenden Kosten genau darlegen und können sie dann bis maximal 10.000 € erstattet bekommen. Der Antrag muss spätestens zwei Monate vor Beginn des Auslandsaufenthaltes über das International Office gestellt werden.\n\nStudierende mit Kind\n\nStudierende und Graduierte mit Kind, die einen Auslandsaufenthalt im Rahmen von Erasmus+ absolvieren möchten, können zusätzliche Fördermittel beantragen. So können sie - je nach Vorhaben und Zielland - bis zu 200,00 € pro Monat zusätzlich zu den regulären Erasmus+ Förderraten erhalten. Voraussetzung ist, dass sie ihr Kind bzw. ihre Kinder mit ins Ausland nehmen und dort alleinerziehend sind, also nicht z.B. von einem weiteren Erziehungsberechtigten des Kindes begleitet werden. Dazu füllen sie im Anschluss an die Zusage der ERASMUS+ Förderung ein kurzes zusätzliches Antragsformular aus.\n\nIm Anschluss an den Auslandsaufenthalt müssen sie außerdem - z.B. durch ein Flugticket o.ä. - nachweisen, dass ihr Kind sie ins Ausland begleitet hat.	Editorial		[]	false	[]	23
